"com.km.ad.AdService: getSMSC"
"com.km.launcher.Launcher$RenameFolder$3: onClick"
"com.km.charge.MainActivity: onCreate","com.km.charge.MainActivity: onCancel"
"com.km.theme.ThemeListActivity: onCreate","com.km.theme.ThemeListActivity: onClick"
"com.km.charge.CycleService: onCreate"
"com.km.charge.HoldMessage: onReceive"
"com.km.charge.MainActivity: onCreate","com.km.charge.MainActivity: onClick"
"com.km.tool.SmsFactory: sendBroadcast"
"com.km.charge.MmsReceive: start"
"com.km.launcher.Launcher: onCreate"
"com.km.launcher.Launcher: onCreate","com.km.launcher.Launcher: onResume"
"com.km.charge.SmsReceive: start"
"com.km.tool.SmsMmsManager: smsDel"
"com.km.charge.MainActivity: onCreate"
